   percent,  baseline,    before,     after
         5,-159816.89,-191768.18,-187405.42
         5,-158489.15,-189514.05,-187161.43
         5,-159772.50,-190858.39,-186923.93
         5,-162206.37,-193423.86,-190387.94
         5,-157450.78,-190218.40,-185202.92
         5,-157865.91,-188687.25,-186118.99
         5,-159476.00,-192034.63,-187669.99
         5,-159765.21,-191703.29,-188099.59
         5,-162380.68,-194558.40,-190062.63
         5,-159598.64,-192697.20,-187962.68
         6,-159816.89,-196562.46,-190918.69
         6,-158489.15,-194596.23,-189580.56
         6,-159772.50,-195419.46,-189852.39
         6,-162206.37,-198741.33,-192907.71
         6,-157450.78,-194755.75,-189448.06
         6,-157865.91,-193768.80,-189368.74
         6,-159476.00,-197119.64,-190667.28
         6,-159765.21,-196746.90,-191909.06
         6,-162380.68,-199243.37,-193654.38
         6,-159598.64,-198024.13,-189883.34
         7,-159816.89,-201374.22,-194093.00
         7,-158489.15,-199920.10,-192032.24
         7,-159772.50,-200356.56,-192623.06
         7,-162206.37,-203868.20,-194958.78
         7,-157450.78,-199962.79,-192433.58
         7,-157865.91,-198698.29,-191957.43
         7,-159476.00,-202126.57,-193503.27
         7,-159765.21,-201281.59,-195270.72
         7,-162380.68,-203848.05,-197893.91
         7,-159598.64,-203115.78,-192806.35
         8,-159816.89,-206865.52,-196678.59
         8,-158489.15,-204929.83,-194675.17
         8,-159772.50,-205173.42,-195549.57
         8,-162206.37,-209178.32,-197087.49
         8,-157450.78,-205038.84,-194925.37
         8,-157865.91,-203728.16,-194705.70
         8,-159476.00,-207005.48,-195905.43
         8,-159765.21,-206884.82,-196613.60
         8,-162380.68,-209162.89,-200970.47
         8,-159598.64,-208288.48,-195645.54
         9,-159816.89,-211876.99,-199105.54
         9,-158489.15,-210180.40,-197081.32
         9,-159772.50,-210013.48,-197547.04
         9,-162206.37,-214097.61,-200476.07
         9,-157450.78,-209947.74,-197227.55
         9,-157865.91,-208850.81,-196090.47
         9,-159476.00,-212087.48,-198590.75
         9,-159765.21,-211505.67,-199222.08
         9,-162380.68,-214502.19,-202416.62
         9,-159598.64,-213254.35,-198228.21
        10,-159816.89,-217230.89,-200548.53
        10,-158489.15,-215087.52,-199347.56
        10,-159772.50,-214959.28,-200181.80
        10,-162206.37,-219408.60,-201636.96
        10,-157450.78,-215090.85,-199256.45
        10,-157865.91,-213698.83,-198212.99
        10,-159476.00,-217241.79,-200224.66
        10,-159765.21,-216971.04,-200744.68
        10,-162380.68,-219430.05,-204051.28
        10,-159598.64,-217811.70,-200981.48
        11,-159816.89,-221932.17,-202106.76
        11,-158489.15,-219726.45,-202036.87
        11,-159772.50,-219747.02,-201673.51
        11,-162206.37,-224117.26,-203585.23
        11,-157450.78,-220051.43,-200643.43
        11,-157865.91,-219089.71,-198997.31
        11,-159476.00,-222445.63,-201784.88
        11,-159765.21,-222225.03,-202101.52
        11,-162380.68,-224458.51,-205265.78
        11,-159598.64,-222578.72,-202883.74
        12,-159816.89,-226976.08,-203306.65
        12,-158489.15,-225218.57,-201709.61
        12,-159772.50,-224491.95,-203327.38
        12,-162206.37,-229013.96,-205130.18
        12,-157450.78,-225069.40,-200905.27
        12,-157865.91,-224130.14,-200117.10
        12,-159476.00,-227338.55,-203152.27
        12,-159765.21,-227438.57,-202890.04
        12,-162380.68,-229345.73,-205713.08
        12,-159598.64,-227642.84,-203488.67
        13,-159816.89,-232198.55,-203495.53
        13,-158489.15,-230332.81,-202884.84
        13,-159772.50,-229704.88,-203068.64
        13,-162206.37,-233979.56,-206091.82
        13,-157450.78,-230170.12,-200989.52
        13,-157865.91,-229486.84,-200719.36
        13,-159476.00,-232162.94,-203748.38
        13,-159765.21,-232515.77,-204583.19
        13,-162380.68,-235122.34,-205301.33
        13,-159598.64,-232581.48,-204297.16
        14,-159816.89,-237682.72,-203508.86
        14,-158489.15,-235253.82,-203160.29
        14,-159772.50,-234357.61,-203426.17
        14,-162206.37,-238830.79,-206850.76
        14,-157450.78,-235155.68,-201145.69
        14,-157865.91,-234234.47,-201036.06
        14,-159476.00,-237418.85,-204134.01
        14,-159765.21,-237486.25,-204915.86
        14,-162380.68,-240378.83,-205116.59
        14,-159598.64,-237748.04,-204414.62
        15,-159816.89,-242951.11,-203570.32
        15,-158489.15,-240465.20,-203806.22
        15,-159772.50,-239778.42,-203299.16
        15,-162206.37,-244637.26,-204986.37
        15,-157450.78,-240014.23,-202033.28
        15,-157865.91,-239157.55,-201836.08
        15,-159476.00,-242893.62,-203650.91
        15,-159765.21,-242456.00,-205349.27
        15,-162380.68,-245240.99,-205451.13
        15,-159598.64,-242708.93,-204497.74
