   percent,  baseline,    before,     after
         5,-159816.89,-191688.88,-188515.78
         5,-158489.15,-189555.03,-187039.20
         5,-159772.50,-190826.60,-186902.55
         5,-162206.37,-192339.44,-188473.00
         5,-157450.78,-189862.66,-185752.96
         5,-157865.91,-188612.45,-185874.80
         5,-159476.00,-192085.24,-187144.89
         5,-159765.21,-191767.26,-188717.49
         5,-162380.68,-194495.66,-191045.34
         5,-159598.64,-192709.59,-187155.81
         6,-159816.89,-196557.50,-191346.03
         6,-158489.15,-194606.28,-190746.95
         6,-159772.50,-195332.61,-191214.68
         6,-162206.37,-197269.52,-191848.41
         6,-157450.78,-194970.26,-189291.03
         6,-157865.91,-193649.66,-188225.94
         6,-159476.00,-197111.31,-190931.05
         6,-159765.21,-196900.69,-191341.93
         6,-162380.68,-199152.35,-194453.13
         6,-159598.64,-198127.43,-191561.79
         7,-159816.89,-201455.42,-193384.37
         7,-158489.15,-199880.11,-193686.10
         7,-159772.50,-200213.72,-194282.50
         7,-162206.37,-202711.07,-195681.00
         7,-157450.78,-199988.44,-191247.30
         7,-157865.91,-198755.59,-190919.04
         7,-159476.00,-202009.13,-194691.17
         7,-159765.21,-201488.82,-194304.95
         7,-162380.68,-203871.06,-196283.40
         7,-159598.64,-203088.42,-194224.75
         8,-159816.89,-206880.21,-196223.84
         8,-158489.15,-204882.23,-196175.87
         8,-159772.50,-205069.76,-196735.96
         8,-162206.37,-208006.10,-197888.71
         8,-157450.78,-205326.68,-193974.86
         8,-157865.91,-203613.58,-193510.85
         8,-159476.00,-206949.34,-196420.76
         8,-159765.21,-206942.05,-197346.86
         8,-162380.68,-209268.85,-198113.81
         8,-159598.64,-208328.28,-196384.10
         9,-159816.89,-211902.92,-198759.21
         9,-158489.15,-210091.28,-197768.82
         9,-159772.50,-209961.66,-198283.44
         9,-162206.37,-213285.37,-199877.22
         9,-157450.78,-210439.05,-196972.32
         9,-157865.91,-208846.80,-196772.73
         9,-159476.00,-212181.41,-197457.50
         9,-159765.21,-211712.18,-200094.28
         9,-162380.68,-214525.90,-201276.90
         9,-159598.64,-213272.67,-199411.20
        10,-159816.89,-217168.70,-200422.00
        10,-158489.15,-214967.96,-199616.54
        10,-159772.50,-214863.61,-199490.55
        10,-162206.37,-218789.38,-202027.06
        10,-157450.78,-215405.54,-198557.33
        10,-157865.91,-213748.38,-198826.75
        10,-159476.00,-217187.77,-198614.77
        10,-159765.21,-217034.13,-200942.52
        10,-162380.68,-219498.04,-202123.43
        10,-159598.64,-217869.89,-200574.76
        11,-159816.89,-221955.99,-200870.84
        11,-158489.15,-219709.85,-199859.03
        11,-159772.50,-219688.63,-201387.43
        11,-162206.37,-223432.03,-203098.33
        11,-157450.78,-220272.14,-198714.69
        11,-157865.91,-219125.35,-198883.97
        11,-159476.00,-222501.95,-200161.69
        11,-159765.21,-222323.66,-201406.03
        11,-162380.68,-224480.98,-204671.18
        11,-159598.64,-222624.16,-201952.71
        12,-159816.89,-227015.39,-202611.86
        12,-158489.15,-225224.20,-199865.37
        12,-159772.50,-224454.08,-202283.84
        12,-162206.37,-228321.68,-204623.68
        12,-157450.78,-225541.76,-199593.17
        12,-157865.91,-223972.07,-200763.11
        12,-159476.00,-227383.54,-202587.91
        12,-159765.21,-227613.37,-201641.30
        12,-162380.68,-229463.99,-205320.14
        12,-159598.64,-227634.25,-202137.49
        13,-159816.89,-232198.85,-203237.50
        13,-158489.15,-230206.42,-200665.61
        13,-159772.50,-229619.78,-202447.25
        13,-162206.37,-232817.65,-203956.66
        13,-157450.78,-230715.35,-199489.72
        13,-157865.91,-229463.07,-201020.89
        13,-159476.00,-232293.94,-204592.78
        13,-159765.21,-232537.25,-203344.52
        13,-162380.68,-235146.92,-205632.91
        13,-159598.64,-232615.54,-203118.55
        14,-159816.89,-237645.38,-203264.27
        14,-158489.15,-235238.77,-200917.08
        14,-159772.50,-234356.81,-202558.31
        14,-162206.37,-238094.66,-205889.08
        14,-157450.78,-235641.37,-200103.27
        14,-157865.91,-234182.95,-202484.47
        14,-159476.00,-237426.67,-204172.56
        14,-159765.21,-237507.85,-204321.99
        14,-162380.68,-240301.12,-206259.81
        14,-159598.64,-237796.69,-204351.94
        15,-159816.89,-242871.76,-202890.31
        15,-158489.15,-240537.69,-200675.86
        15,-159772.50,-239735.28,-203526.39
        15,-162206.37,-243174.12,-205590.30
        15,-157450.78,-240735.73,-200954.17
        15,-157865.91,-239056.73,-202113.14
        15,-159476.00,-242856.53,-205383.62
        15,-159765.21,-242557.86,-204390.09
        15,-162380.68,-245287.89,-205661.72
        15,-159598.64,-242601.62,-204883.77
