   percent,  baseline,    before,     after
         5, -15515.48, -15524.99, -15518.67
         5, -14336.09, -14356.04, -14339.80
         5, -17357.72, -17366.14, -17364.33
         5, -14487.32, -14491.39, -14493.99
         5, -14133.98, -14215.12, -14112.27
         5, -15222.60, -15231.31, -15226.81
         5, -14600.83, -14610.64, -14605.65
         5, -16528.62, -16532.89, -16534.44
         5, -16183.68, -16190.54, -16207.59
         5, -17002.66, -17006.22, -17010.84
         6, -15515.48, -15526.53, -15519.63
         6, -14336.09, -14357.41, -14340.22
         6, -17357.72, -17367.97, -17364.45
         6, -14487.32, -14494.13, -14492.99
         6, -14133.98, -14191.89, -14136.11
         6, -15222.60, -15231.61, -15229.45
         6, -14600.83, -14612.61, -14606.00
         6, -16528.62, -16535.65, -16534.55
         6, -16183.68, -16208.50, -16191.95
         6, -17002.66, -17009.99, -17010.53
         7, -15515.48, -15527.07, -15522.66
         7, -14336.09, -14359.20, -14341.80
         7, -17357.72, -17368.97, -17368.19
         7, -14487.32, -14496.92, -14491.02
         7, -14133.98, -14192.81, -14136.65
         7, -15222.60, -15234.42, -15230.99
         7, -14600.83, -14613.80, -14607.77
         7, -16528.62, -16535.69, -16535.77
         7, -16183.68, -16210.13, -16193.07
         7, -17002.66, -17013.65, -17011.77
         8, -15515.48, -15527.47, -15522.51
         8, -14336.09, -14360.14, -14342.08
         8, -17357.72, -17368.97, -17370.54
         8, -14487.32, -14496.92, -14493.47
         8, -14133.98, -14192.81, -14704.53
         8, -15222.60, -15234.94, -15231.89
         8, -14600.83, -14615.08, -14640.13
         8, -16528.62, -16536.87, -16536.62
         8, -16183.68, -16211.53, -16256.99
         8, -17002.66, -17014.40, -17011.81
         9, -15515.48, -15528.46, -15525.98
         9, -14336.09, -14360.38, -14342.95
         9, -17357.72, -17369.52, -17371.84
         9, -14487.32, -14497.31, -14493.61
         9, -14133.98, -14193.12, -14706.13
         9, -15222.60, -15235.52, -15233.27
         9, -14600.83, -14615.46, -14640.70
         9, -16528.62, -16538.71, -16534.74
         9, -16183.68, -16214.34, -16254.95
         9, -17002.66, -17016.64, -17014.13
        10, -15515.48, -15530.68, -15526.32
        10, -14336.09, -14361.85, -14342.32
        10, -17357.72, -17373.15, -17368.85
        10, -14487.32, -14498.55, -14495.06
        10, -14133.98, -14194.02, -14705.57
        10, -15222.60, -15237.13, -15233.58
        10, -14600.83, -14617.13, -14639.98
        10, -16528.62, -16540.73, -16533.81
        10, -16183.68, -16214.93, -16257.51
        10, -17002.66, -17017.86, -17013.60
        11, -15515.48, -15532.15, -15525.57
        11, -14336.09, -14363.62, -14341.87
        11, -17357.72, -17373.15, -17369.78
        11, -14487.32, -14499.78, -14495.87
        11, -14133.98, -14194.02, -14708.89
        11, -15222.60, -15238.83, -15232.18
        11, -14600.83, -14617.05, -14640.42
        11, -16528.62, -16541.23, -16534.11
        11, -16183.68, -16216.53, -16257.52
        11, -17002.66, -17018.89, -17012.57
        12, -15515.48, -15533.54, -15527.61
        12, -14336.09, -14365.24, -14342.76
        12, -17357.72, -17375.42, -17368.28
        12, -14487.32, -14500.61, -14497.75
        12, -14133.98, -14194.54, -14708.27
        12, -15222.60, -15241.18, -15231.56
        12, -14600.83, -14618.57, -14640.09
        12, -16528.62, -16541.58, -16533.96
        12, -16183.68, -16218.64, -16258.02
        12, -17002.66, -17022.76, -17009.43
        13, -15515.48, -15534.95, -15527.32
        13, -14336.09, -14365.53, -14343.85
        13, -17357.72, -17379.41, -17365.48
        13, -14487.32, -14502.18, -14496.18
        13, -14133.98, -14686.67, -14142.05
        13, -15222.60, -15242.81, -15231.03
        13, -14600.83, -14651.57, -14609.14
        13, -16528.62, -16542.94, -16534.55
        13, -16183.68, -16219.88, -16256.70
        13, -17002.66, -17023.23, -17010.28
        14, -15515.48, -15535.03, -15528.31
        14, -14336.09, -14366.10, -14344.33
        14, -17357.72, -17380.17, -17365.12
        14, -14487.32, -14503.16, -14497.92
        14, -14133.98, -14688.86, -14141.07
        14, -15222.60, -15244.24, -15232.31
        14, -14600.83, -14654.48, -14608.30
        14, -16528.62, -16544.87, -16534.87
        14, -16183.68, -16284.44, -16195.05
        14, -17002.66, -17023.72, -17011.16
        15, -15515.48, -15537.78, -15525.77
        15, -14336.09, -14366.81, -14343.72
        15, -17357.72, -17381.87, -17363.52
        15, -14487.32, -14504.36, -14497.90
        15, -14133.98, -14689.46, -14141.28
        15, -15222.60, -15245.85, -15231.54
        15, -14600.83, -14654.67, -14609.17
        15, -16528.62, -16544.82, -16536.26
        15, -16183.68, -16285.01, -16194.56
        15, -17002.66, -17026.62, -17010.21
