   percent,  baseline,    before,     after
         5,-195770.52,-195939.04,-195868.33
         5,-193976.65,-194149.24,-194065.01
         5,-196088.92,-196147.40,-196109.34
         5,-198912.80,-198983.33,-198997.81
         5,-193233.97,-193349.48,-193345.35
         5,-195759.01,-195786.75,-195842.45
         5,-196965.24,-197022.62,-196967.87
         5,-195192.88,-195240.76,-195251.80
         5,-198054.11,-198199.90,-198204.50
         5,-196456.33,-196896.47,-196908.52
         6,-195770.52,-195953.72,-195955.36
         6,-193976.65,-194132.24,-194075.54
         6,-196088.92,-196147.04,-196069.83
         6,-198912.80,-198990.40,-199031.73
         6,-193233.97,-193362.24,-193412.29
         6,-195759.01,-195800.30,-195897.23
         6,-196965.24,-197035.36,-197043.28
         6,-195192.88,-195232.35,-195257.61
         6,-198054.11,-198211.70,-198213.48
         6,-196456.33,-196911.17,-196867.33
         7,-195770.52,-195970.20,-195941.52
         7,-193976.65,-194144.97,-194123.29
         7,-196088.92,-196157.81,-196132.77
         7,-198912.80,-199025.69,-198987.54
         7,-193233.97,-193431.76,-193487.32
         7,-195759.01,-195815.43,-195885.54
         7,-196965.24,-197049.43,-197083.30
         7,-195192.88,-195257.96,-195306.63
         7,-198054.11,-198224.24,-198161.62
         7,-196456.33,-196925.38,-196902.47
         8,-195770.52,-195980.89,-195924.19
         8,-193976.65,-194160.76,-194181.06
         8,-196088.92,-196172.33,-196136.34
         8,-198912.80,-199109.04,-199073.37
         8,-193233.97,-193524.72,-193514.27
         8,-195759.01,-195826.68,-195916.75
         8,-196965.24,-197061.57,-197052.58
         8,-195192.88,-195273.47,-195271.74
         8,-198054.11,-198325.30,-198202.55
         8,-196456.33,-196937.26,-196908.21
         9,-195770.52,-195995.64,-195992.48
         9,-193976.65,-194209.86,-194204.95
         9,-196088.92,-196187.42,-196175.86
         9,-198912.80,-199147.54,-199042.61
         9,-193233.97,-193558.77,-193485.09
         9,-195759.01,-195856.90,-195877.14
         9,-196965.24,-197089.36,-197093.24
         9,-195192.88,-195290.12,-195296.81
         9,-198054.11,-198319.38,-198234.88
         9,-196456.33,-196949.19,-196961.11
        10,-195770.52,-196008.04,-196014.15
        10,-193976.65,-194225.26,-194160.72
        10,-196088.92,-196218.96,-196109.09
        10,-198912.80,-199162.42,-199166.28
        10,-193233.97,-193574.60,-193507.23
        10,-195759.01,-195868.68,-195895.58
        10,-196965.24,-197119.58,-197120.32
        10,-195192.88,-195317.42,-195244.38
        10,-198054.11,-198332.70,-198254.96
        10,-196456.33,-197009.72,-197017.34
        11,-195770.52,-196019.66,-196026.90
        11,-193976.65,-194419.00,-194149.10
        11,-196088.92,-196669.60,-196079.82
        11,-198912.80,-199201.43,-199098.56
        11,-193233.97,-193588.48,-193475.72
        11,-195759.01,-195883.85,-195880.61
        11,-196965.24,-197100.67,-197150.34
        11,-195192.88,-195332.32,-195272.42
        11,-198054.11,-198343.57,-198269.19
        11,-196456.33,-197035.42,-196975.67
        12,-195770.52,-196079.52,-196016.63
        12,-193976.65,-194447.21,-194157.29
        12,-196088.92,-196655.82,-196103.83
        12,-198912.80,-199214.40,-199064.13
        12,-193233.97,-193594.00,-193470.40
        12,-195759.01,-195921.32,-195929.12
        12,-196965.24,-197112.36,-197153.38
        12,-195192.88,-195344.84,-195282.69
        12,-198054.11,-198376.77,-198263.88
        12,-196456.33,-197048.68,-196958.99
        13,-195770.52,-196091.41,-195990.52
        13,-193976.65,-194458.92,-194234.73
        13,-196088.92,-196694.12,-196106.88
        13,-198912.80,-199226.45,-199024.92
        13,-193233.97,-193585.12,-193493.47
        13,-195759.01,-195935.11,-195905.45
        13,-196965.24,-197124.97,-197084.55
        13,-195192.88,-195359.63,-195285.31
        13,-198054.11,-198370.16,-198306.42
        13,-196456.33,-197024.39,-197008.63
        14,-195770.52,-196106.57,-195957.88
        14,-193976.65,-194472.87,-194223.34
        14,-196088.92,-196708.13,-196185.39
        14,-198912.80,-199239.29,-199225.90
        14,-193233.97,-193598.14,-193486.75
        14,-195759.01,-195949.42,-195937.16
        14,-196965.24,-197155.04,-197066.87
        14,-195192.88,-195394.25,-195322.87
        14,-198054.11,-198385.22,-198294.33
        14,-196456.33,-197065.58,-196957.88
        15,-195770.52,-196140.32,-195950.44
        15,-193976.65,-194486.49,-194206.46
        15,-196088.92,-196690.26,-196227.47
        15,-198912.80,-199253.75,-199265.35
        15,-193233.97,-193627.87,-193469.26
        15,-195759.01,-195961.89,-195945.16
        15,-196965.24,-197166.88,-197066.64
        15,-195192.88,-195405.81,-195334.35
        15,-198054.11,-198398.59,-198286.72
        15,-196456.33,-197101.32,-196947.67
