   percent,  baseline,    before,     after
         5, -15515.48, -17607.98, -17107.44
         5, -14336.09, -16764.51, -16278.76
         5, -17357.72, -18582.01, -18844.89
         5, -14487.32, -16964.51, -17015.86
         5, -14133.98, -16042.03, -15873.63
         5, -15222.60, -18265.74, -17567.47
         5, -14600.83, -17343.14, -17276.52
         5, -16528.62, -18470.53, -18151.80
         5, -16183.68, -18535.14, -18567.98
         5, -17002.66, -18862.16, -18326.65
         6, -15515.48, -17731.97, -17379.21
         6, -14336.09, -17046.37, -16131.02
         6, -17357.72, -18824.81, -18752.10
         6, -14487.32, -17376.05, -16997.80
         6, -14133.98, -16218.16, -16053.83
         6, -15222.60, -18620.42, -17824.46
         6, -14600.83, -17677.56, -17447.82
         6, -16528.62, -18729.23, -18237.68
         6, -16183.68, -18820.14, -18509.57
         6, -17002.66, -19053.08, -18599.18
         7, -15515.48, -18051.39, -17530.04
         7, -14336.09, -17168.57, -16639.06
         7, -17357.72, -19175.13, -19285.65
         7, -14487.32, -17638.95, -17122.65
         7, -14133.98, -16420.55, -16284.12
         7, -15222.60, -18735.85, -18111.39
         7, -14600.83, -18067.19, -17114.44
         7, -16528.62, -19077.17, -18292.19
         7, -16183.68, -19054.31, -18672.16
         7, -17002.66, -19248.72, -18925.87
         8, -15515.48, -18185.47, -17704.06
         8, -14336.09, -17338.15, -16885.66
         8, -17357.72, -19345.34, -19331.45
         8, -14487.32, -17784.78, -17304.29
         8, -14133.98, -16738.89, -16235.55
         8, -15222.60, -18897.80, -18289.41
         8, -14600.83, -18297.04, -17185.84
         8, -16528.62, -19169.33, -18483.39
         8, -16183.68, -19218.14, -19067.40
         8, -17002.66, -19609.95, -18821.16
         9, -15515.48, -18412.77, -17921.57
         9, -14336.09, -17457.18, -17135.71
         9, -17357.72, -19532.75, -19408.68
         9, -14487.32, -18213.16, -16926.22
         9, -14133.98, -16844.70, -16651.37
         9, -15222.60, -19226.55, -18391.76
         9, -14600.83, -18597.11, -17163.71
         9, -16528.62, -19371.77, -18553.94
         9, -16183.68, -19454.93, -19164.58
         9, -17002.66, -19935.03, -18998.61
        10, -15515.48, -18790.37, -17865.23
        10, -14336.09, -17629.60, -17237.02
        10, -17357.72, -19699.37, -19434.80
        10, -14487.32, -18502.75, -16942.48
        10, -14133.98, -17087.85, -16707.51
        10, -15222.60, -19645.10, -18434.07
        10, -14600.83, -18860.57, -17134.82
        10, -16528.62, -19655.82, -18611.01
        10, -16183.68, -19781.58, -19183.68
        10, -17002.66, -20144.11, -19158.80
        11, -15515.48, -18887.74, -18339.10
        11, -14336.09, -17808.12, -17417.81
        11, -17357.72, -19831.78, -19548.44
        11, -14487.32, -18706.46, -16930.58
        11, -14133.98, -17368.15, -16838.57
        11, -15222.60, -19906.01, -18435.20
        11, -14600.83, -19116.58, -17187.27
        11, -16528.62, -19831.81, -18628.33
        11, -16183.68, -19938.39, -19404.83
        11, -17002.66, -20347.43, -19383.22
        12, -15515.48, -19216.41, -18311.29
        12, -14336.09, -18178.50, -17401.43
        12, -17357.72, -19997.53, -19608.51
        12, -14487.32, -18959.44, -16856.64
        12, -14133.98, -17548.76, -17134.18
        12, -15222.60, -20044.72, -18374.87
        12, -14600.83, -19200.96, -17400.95
        12, -16528.62, -20176.30, -18745.47
        12, -16183.68, -20225.31, -19469.83
        12, -17002.66, -20680.70, -19388.77
        13, -15515.48, -19303.53, -18488.64
        13, -14336.09, -18409.14, -17561.57
        13, -17357.72, -20307.32, -19660.53
        13, -14487.32, -19126.99, -17426.77
        13, -14133.98, -17783.71, -17273.67
        13, -15222.60, -20330.55, -18308.02
        13, -14600.83, -19364.75, -17447.43
        13, -16528.62, -20265.71, -18718.45
        13, -16183.68, -20365.61, -19447.28
        13, -17002.66, -20856.61, -19968.00
        14, -15515.48, -19658.84, -18440.68
        14, -14336.09, -18657.08, -17420.41
        14, -17357.72, -20794.63, -19675.26
        14, -14487.32, -19245.27, -17271.27
        14, -14133.98, -17975.47, -17302.58
        14, -15222.60, -20552.48, -18230.03
        14, -14600.83, -19565.05, -17522.60
        14, -16528.62, -20668.72, -18533.60
        14, -16183.68, -20684.48, -19067.97
        14, -17002.66, -21123.96, -20021.95
        15, -15515.48, -19879.97, -18312.19
        15, -14336.09, -18732.57, -17443.67
        15, -17357.72, -20951.68, -19593.89
        15, -14487.32, -19365.06, -17257.72
        15, -14133.98, -18212.09, -17117.08
        15, -15222.60, -20910.82, -18131.89
        15, -14600.83, -19902.77, -17444.52
        15, -16528.62, -20811.89, -18471.91
        15, -16183.68, -20885.43, -18893.49
        15, -17002.66, -21383.03, -20050.11
