   percent,  baseline,    before,     after
         5,-195770.52,-213038.45,-212357.53
         5,-193976.65,-210846.44,-209597.03
         5,-196088.92,-213170.73,-212794.47
         5,-198912.80,-215046.01,-214119.48
         5,-193233.97,-211484.28,-210317.22
         5,-195759.01,-212606.92,-210567.53
         5,-196965.24,-214162.99,-212761.76
         5,-195192.88,-212682.76,-212174.19
         5,-198054.11,-216628.36,-214952.81
         5,-196456.33,-213895.32,-212899.93
         6,-195770.52,-215094.83,-213770.39
         6,-193976.65,-213549.23,-211160.55
         6,-196088.92,-215473.41,-213779.15
         6,-198912.80,-217693.49,-215420.24
         6,-193233.97,-214036.42,-212018.15
         6,-195759.01,-215258.74,-212052.96
         6,-196965.24,-216472.64,-214241.04
         6,-195192.88,-214941.93,-213441.84
         6,-198054.11,-218666.52,-216346.97
         6,-196456.33,-216327.52,-214196.09
         7,-195770.52,-217591.60,-215117.44
         7,-193976.65,-215789.09,-212747.66
         7,-196088.92,-217628.84,-214630.29
         7,-198912.80,-219803.87,-217184.56
         7,-193233.97,-216230.14,-213576.88
         7,-195759.01,-217472.78,-213435.29
         7,-196965.24,-218735.84,-215990.79
         7,-195192.88,-217605.41,-214903.47
         7,-198054.11,-221144.83,-218134.84
         7,-196456.33,-218645.65,-215974.81
         8,-195770.52,-219851.25,-216775.49
         8,-193976.65,-218132.33,-214303.04
         8,-196088.92,-220024.75,-216553.99
         8,-198912.80,-222088.26,-218586.73
         8,-193233.97,-218434.55,-215144.59
         8,-195759.01,-219555.54,-215119.55
         8,-196965.24,-220769.64,-217676.58
         8,-195192.88,-219765.88,-215734.42
         8,-198054.11,-223496.64,-220547.32
         8,-196456.33,-221004.19,-217936.44
         9,-195770.52,-222386.98,-218012.51
         9,-193976.65,-220857.35,-216040.75
         9,-196088.92,-222360.97,-217643.31
         9,-198912.80,-224356.41,-220521.67
         9,-193233.97,-220827.45,-216673.72
         9,-195759.01,-222189.53,-216610.47
         9,-196965.24,-222928.88,-218331.07
         9,-195192.88,-221924.00,-217057.89
         9,-198054.11,-225745.02,-221477.36
         9,-196456.33,-223453.99,-218890.45
        10,-195770.52,-224368.86,-219673.01
        10,-193976.65,-223108.69,-217029.75
        10,-196088.92,-224971.03,-219234.89
        10,-198912.80,-226884.13,-221459.64
        10,-193233.97,-222937.05,-217301.71
        10,-195759.01,-224594.17,-217279.49
        10,-196965.24,-225206.49,-218760.43
        10,-195192.88,-224035.54,-218478.74
        10,-198054.11,-228036.55,-222485.20
        10,-196456.33,-225654.72,-219565.97
        11,-195770.52,-226706.84,-220606.95
        11,-193976.65,-225588.01,-218092.20
        11,-196088.92,-227556.79,-220025.65
        11,-198912.80,-229328.82,-222086.07
        11,-193233.97,-225334.89,-218168.56
        11,-195759.01,-226763.11,-217904.23
        11,-196965.24,-227361.08,-219232.46
        11,-195192.88,-226436.43,-219112.76
        11,-198054.11,-230458.71,-223623.44
        11,-196456.33,-228067.72,-220524.92
        12,-195770.52,-229026.91,-221643.11
        12,-193976.65,-227798.84,-219180.88
        12,-196088.92,-229980.32,-220863.89
        12,-198912.80,-231525.85,-222404.40
        12,-193233.97,-227700.86,-218533.85
        12,-195759.01,-228954.15,-218836.38
        12,-196965.24,-229525.56,-220481.50
        12,-195192.88,-228916.91,-220008.75
        12,-198054.11,-232851.93,-224319.76
        12,-196456.33,-230338.96,-221120.04
        13,-195770.52,-231349.47,-222160.65
        13,-193976.65,-230094.25,-219458.73
        13,-196088.92,-232216.77,-221691.58
        13,-198912.80,-233773.01,-223814.36
        13,-193233.97,-229889.29,-219315.90
        13,-195759.01,-231258.38,-218914.17
        13,-196965.24,-232290.82,-221817.73
        13,-195192.88,-231705.21,-221151.10
        13,-198054.11,-234978.27,-224764.63
        13,-196456.33,-232709.16,-221643.77
        14,-195770.52,-233692.67,-221803.18
        14,-193976.65,-232347.73,-219769.90
        14,-196088.92,-234562.31,-222204.14
        14,-198912.80,-236149.67,-224251.50
        14,-193233.97,-232397.30,-219673.50
        14,-195759.01,-233590.84,-219990.52
        14,-196965.24,-234310.22,-221946.74
        14,-195192.88,-233882.63,-220606.74
        14,-198054.11,-237354.55,-225186.82
        14,-196456.33,-234918.93,-222711.23
        15,-195770.52,-236049.52,-222273.00
        15,-193976.65,-234446.74,-220415.97
        15,-196088.92,-236890.54,-223069.06
        15,-198912.80,-238444.41,-223578.44
        15,-193233.97,-234926.70,-220484.61
        15,-195759.01,-235835.54,-220431.92
        15,-196965.24,-236427.11,-223058.24
        15,-195192.88,-236013.14,-221453.57
        15,-198054.11,-239694.47,-224971.97
        15,-196456.33,-237238.46,-223023.48
