   percent,  baseline,    before,     after
         5,-195770.52,-195707.33,-195753.10
         5,-193976.65,-193962.34,-193703.41
         5,-196088.92,-196108.24,-196081.15
         5,-198912.80,-198894.92,-198883.84
         5,-193233.97,-193212.55,-193231.82
         5,-195759.01,-195769.32,-195747.72
         5,-196965.24,-196993.84,-196718.70
         5,-195192.88,-195219.98,-195189.44
         5,-198054.11,-198067.56,-198109.66
         5,-196456.33,-196773.84,-196440.52
         6,-195770.52,-195730.71,-195806.24
         6,-193976.65,-193967.82,-193963.63
         6,-196088.92,-196113.73,-196038.00
         6,-198912.80,-198872.76,-198897.46
         6,-193233.97,-193090.98,-193298.01
         6,-195759.01,-195817.78,-195792.55
         6,-196965.24,-196947.16,-196735.96
         6,-195192.88,-195179.72,-195158.93
         6,-198054.11,-197890.49,-198004.62
         6,-196456.33,-196400.68,-196821.07
         7,-195770.52,-195767.75,-195718.09
         7,-193976.65,-193908.21,-193850.39
         7,-196088.92,-196086.50,-195914.39
         7,-198912.80,-198829.83,-198873.44
         7,-193233.97,-193268.44,-193216.88
         7,-195759.01,-195891.94,-195790.07
         7,-196965.24,-196933.80,-196934.57
         7,-195192.88,-195172.51,-195200.25
         7,-198054.11,-197909.68,-197946.81
         7,-196456.33,-196384.85,-196823.48
         8,-195770.52,-195725.42,-195729.89
         8,-193976.65,-193917.68,-193978.50
         8,-196088.92,-196063.33,-196055.04
         8,-198912.80,-198799.64,-198862.58
         8,-193233.97,-193204.86,-193263.68
         8,-195759.01,-195866.40,-195844.30
         8,-196965.24,-196917.73,-196959.15
         8,-195192.88,-195185.71,-195156.29
         8,-198054.11,-197938.70,-197711.87
         8,-196456.33,-196372.47,-196437.06
         9,-195770.52,-195740.43,-195715.72
         9,-193976.65,-193929.11,-193921.91
         9,-196088.92,-195892.26,-196048.95
         9,-198912.80,-198807.63,-198821.95
         9,-193233.97,-193157.93,-193248.57
         9,-195759.01,-195730.66,-195776.99
         9,-196965.24,-196930.99,-196787.05
         9,-195192.88,-195127.10,-195185.40
         9,-198054.11,-197814.29,-197847.83
         9,-196456.33,-196440.19,-196505.55
        10,-195770.52,-195801.51,-195775.65
        10,-193976.65,-193889.52,-193916.46
        10,-196088.92,-196008.35,-196029.78
        10,-198912.80,-198922.09,-198972.72
        10,-193233.97,-193114.68,-193224.44
        10,-195759.01,-195755.53,-195717.03
        10,-196965.24,-196764.23,-196973.28
        10,-195192.88,-195180.26,-195094.51
        10,-198054.11,-197875.16,-197849.02
        10,-196456.33,-196433.14,-196469.54
        11,-195770.52,-195845.28,-195915.99
        11,-193976.65,-193869.41,-193940.63
        11,-196088.92,-196010.34,-195923.78
        11,-198912.80,-198906.85,-198901.20
        11,-193233.97,-193138.61,-193266.93
        11,-195759.01,-195794.25,-195755.06
        11,-196965.24,-196879.90,-196779.19
        11,-195192.88,-195179.29,-195174.43
        11,-198054.11,-197757.62,-197908.54
        11,-196456.33,-196358.54,-196418.27
        12,-195770.52,-195812.40,-195889.91
        12,-193976.65,-193732.13,-193864.59
        12,-196088.92,-196066.52,-196007.00
        12,-198912.80,-198881.66,-198917.74
        12,-193233.97,-193007.19,-193164.33
        12,-195759.01,-195704.49,-195694.09
        12,-196965.24,-196736.00,-196771.96
        12,-195192.88,-195181.06,-195165.46
        12,-198054.11,-197849.90,-197906.14
        12,-196456.33,-196395.63,-196429.93
        13,-195770.52,-195725.49,-195783.32
        13,-193976.65,-193927.45,-193868.08
        13,-196088.92,-196066.12,-196041.35
        13,-198912.80,-198810.52,-198892.05
        13,-193233.97,-192979.28,-193179.60
        13,-195759.01,-195795.86,-195751.19
        13,-196965.24,-196710.73,-196941.46
        13,-195192.88,-195210.61,-195186.68
        13,-198054.11,-197761.15,-197931.54
        13,-196456.33,-196372.86,-196447.94
        14,-195770.52,-195709.89,-195812.22
        14,-193976.65,-193784.62,-193855.04
        14,-196088.92,-196036.55,-196047.51
        14,-198912.80,-198829.92,-198876.18
        14,-193233.97,-192983.63,-193171.19
        14,-195759.01,-195809.03,-195753.16
        14,-196965.24,-196728.33,-196707.58
        14,-195192.88,-195186.99,-195171.11
        14,-198054.11,-197818.93,-197891.02
        14,-196456.33,-196335.12,-196443.98
        15,-195770.52,-195736.82,-195728.14
        15,-193976.65,-193905.84,-193819.73
        15,-196088.92,-195772.57,-196075.03
        15,-198912.80,-198866.22,-198885.67
        15,-193233.97,-193078.15,-193093.75
        15,-195759.01,-195688.54,-195756.45
        15,-196965.24,-196728.82,-196887.30
        15,-195192.88,-195161.12,-195201.28
        15,-198054.11,-197834.50,-197955.26
        15,-196456.33,-196313.90,-196731.81
